file,gamma_fs^-1,gamma_s^-1,strain_min,strain_max,fraction_used,stress_mean_GPa,stress_sem_GPa,eta_Pa_s,eta_err_Pa_s,n_points
log_1e-6_225.lammps,1e-06,1000000000.0,0.2,0.4,0.5,0.07276672564706109,0.0015813473967855956,0.07276672564706109,0.0015813473967855958,2001
log_5e-6_225.lammps,5e-06,5000000000.0,0.75,1.5,0.5,0.11018094123532891,0.002847457597682147,0.022036188247065783,0.0005694915195364295,1501
log_1e-5_225.lammps,1e-05,10000000000.0,0.5,1.0,0.5,0.1365961767272727,0.0016084673979998797,0.013659617672727269,0.00016084673979998798,51
log_5e-5_225.lammps,5e-05,50000000000.0,2.5,5.0,0.5,0.1857884903827451,0.0013273578611172863,0.0037157698076549016,2.6547157222345726e-05,251
log_1e-4_225.lammps,0.0001,100000000000.0,6.0,12.0,0.5,0.23522709020578514,0.0017074344472770076,0.002352270902057851,1.7074344472770075e-05,601
