quantity,value,unit
temperature,225.0,K
n_hb_cage,4,
mean_tau_C,208.5113377795214,ps
mean_tau_J,70.50755326016785,ps
mean_r2_J,3.2199077419161433,Å²
mean_rJ,1.5023196165992838,Å
rho_J,0.15767707577574783,
rho_J_mean_field,0.2526981345149797,
D_J,7.611259581496924e-11,m²/s
D_estimate,1.2001211537805772e-11,m²/s
D_MSD,18.53810936953209,m²/s
tau_HB,244.94459878464573,ps
beta_HB,0.8980292616073517,
